,Calvin Klein Bangkok T1 West,Calvin Klein Bangkok T2 East,Calvin Klein London Heathrow,Calvin Klein Manila Fiestamall Obsessed,Calvin Klein Manila Fiestamall One Gold,Calvin Klein Moscow Airport,Calvin Klein Mumbai Airport,Cenique - China Office Test,Circle K CWB HK,Citistore,Coty Gondola Shanghai Explorium 2.0,Easel HK Showroom,Easel Paris Showroom 2018,Easel SH Explorium 2.0,EL JP RN NFC Tester,Estee Lauder Beijing RN Tester,Estee Lauder Tokyo RN Tester,Guerlain Rouge G Champs Elysées Paris,Guerlain Rouge G Lafayette Paris,Guerlain Rouge G Langham Place HK,Guerlain Rouge G Roissy Aiport,Guerlain Rouge G Sephora Paris,Guerlain Rouge G SH Creative Days 2018,Guerlain Rouge G Sun Plaza DFS HK,Guerlain Rouge G VivaTech Paris,Hugo Boss London Heathrow,Hugo Boss Mumbai Airport,Hugo Boss Tel Aviv Airport,Jeffrey,Kiehl's Citistore Tsuen Wan HK,Kiehl's Kwun Tong APM HK,Kiehl's Langham Place HK,Kiehl's Metroplaza Kwai Chung HK,Kiehl's NTP Animation Table HK,Kiehl's Shatin New Town Plaza HK,Kiehl's Telford Plaza HK,Kiehl's Times Square HK,Kiehl's TKO Animation Table HK,Kiehl's Tuen Mun Town Plaza HK,King King Gondola 2,Kwun Tong APM Mall from 26.9.17 Onwards,Kwun Tong APM Mall - up to 26.9.18,Langham Place Mongkok,L'Oreal Paris Watson's Taiwan,Marc Jacobs London Heathrow,Mayb 15ft Chadstone Consumer Journey Melb,Mayb 15ft Chermside QLD,Mayb 15ft Fountain Gate  Melb,Mayb 15ft Marion SA,Mayb 15ft Miranda Fair NSW,Mayb 15ft Mount Gravatt QLD,Mayb 15ft Penrith NSW,Mayb 15ft Queen Street Mall Brisbane,Mayb 15ft Wollongong NSW,Mayb 15ft World Square Sydney,Mayb Wall Unit SH Creative Days 2018,Metroplaza,New Town Plaza Shatin,Philosophy Book Facesss HK,Philosophy Book Facesss Ocean Terminal,Philosophy Book Showroom HK,Shu Uemura Sogo CWB Video Wall,Telford Plaza,test,Times Square,Tuen Mun Town Plaza
2018-11-13,531,226,704,136,120,171,0,0,0,0,1,71,0,0,0,0,0,47,0,0,0,0,93,763,0,124,0,279,0,174,203,718,93,814,0,330,81,140,189,111,0,0,0,51,107,0,0,0,0,0,0,0,0,184,0,0,0,0,0,123,0,0,0,0,6,0
2018-11-14,488,2,931,113,164,155,0,0,0,0,31,224,0,0,0,0,0,108,0,0,0,0,187,810,0,197,0,319,0,188,168,842,89,947,0,320,154,191,241,91,0,0,0,70,89,0,0,0,0,0,0,0,0,188,0,0,0,0,0,164,0,2,0,0,257,0
2018-11-15,623,2,821,111,179,153,0,0,0,0,33,149,0,0,0,0,0,73,0,0,0,0,105,875,0,202,0,410,0,239,291,700,78,907,0,267,147,167,207,87,0,0,0,35,81,0,0,0,0,0,0,0,0,440,0,0,0,0,0,169,0,0,0,0,304,0
2018-11-16,491,0,840,209,177,225,0,0,0,0,15,63,0,0,0,0,0,184,3,0,0,0,4,913,0,203,0,224,0,226,299,765,129,1087,0,488,97,240,212,126,0,0,0,72,105,0,0,0,0,0,0,0,36,239,0,0,0,0,0,149,0,0,0,0,8,0
2018-11-17,508,0,1163,469,294,282,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,1294,0,193,0,163,0,340,379,2240,196,2661,0,577,96,404,940,89,0,0,0,116,169,0,0,0,0,0,0,0,0,279,0,0,0,0,0,368,0,0,0,0,794,0
2018-11-18,485,0,896,555,322,212,0,0,0,0,50,0,0,0,0,0,0,155,0,0,0,0,0,1053,0,200,0,339,0,21,194,1541,176,1746,0,507,128,387,499,80,0,0,0,58,125,0,0,0,0,0,0,0,0,178,0,0,0,0,0,195,0,0,0,0,558,0
2018-11-19,435,349,1070,193,177,191,0,0,0,0,28,0,0,0,0,1,0,154,0,0,0,0,94,804,0,189,0,282,0,147,212,672,46,603,0,227,121,175,168,59,0,0,0,53,108,0,0,0,0,0,0,0,0,151,0,0,0,0,0,127,0,0,0,0,141,0
2018-11-20,459,380,0,646,228,176,0,0,0,0,65,50,0,0,0,0,0,154,0,0,0,0,19,751,0,142,0,306,0,160,175,847,81,757,0,288,112,126,151,111,0,0,0,60,70,0,0,0,0,0,0,0,108,178,0,0,0,0,0,137,0,0,0,0,246,0
2018-11-21,578,38,937,381,172,151,0,0,0,0,31,108,0,0,0,97,0,110,0,0,0,0,0,804,0,6,0,319,0,194,188,746,77,769,0,171,88,208,189,57,0,0,0,63,83,0,0,0,0,0,0,0,1843,1761,0,0,0,0,0,133,0,0,0,0,214,0
2018-11-22,606,243,1678,397,138,202,0,0,0,0,8,32,0,0,0,97,0,677,0,0,0,0,0,566,0,0,0,508,0,189,210,625,84,1325,0,253,208,156,189,34,0,0,0,44,113,0,0,0,0,0,0,0,2302,2413,0,0,0,0,0,134,0,0,0,0,394,0
