,Calvin Klein Bangkok T1 West,Calvin Klein Bangkok T2 East,Calvin Klein London Heathrow,Calvin Klein Manila Fiestamall Obsessed,Calvin Klein Manila Fiestamall One Gold,Calvin Klein Moscow Airport,Calvin Klein Mumbai Airport,Cenique - China Office Test,Circle K CWB HK,Citistore,Coty Gondola Shanghai Explorium 2.0,Easel HK Showroom,Easel Paris Showroom 2018,Easel SH Explorium 2.0,EL JP RN NFC Tester,Estee Lauder Beijing RN Tester,Estee Lauder Tokyo RN Tester,Guerlain Rouge G Champs Elysées Paris,Guerlain Rouge G Lafayette Paris,Guerlain Rouge G Langham Place HK,Guerlain Rouge G Roissy Aiport,Guerlain Rouge G Sephora Paris,Guerlain Rouge G SH Creative Days 2018,Guerlain Rouge G Sun Plaza DFS HK,Guerlain Rouge G VivaTech Paris,Hugo Boss London Heathrow,Hugo Boss Mumbai Airport,Hugo Boss Tel Aviv Airport,Jeffrey,Kiehl's Citistore Tsuen Wan HK,Kiehl's Kwun Tong APM HK,Kiehl's Langham Place HK,Kiehl's Metroplaza Kwai Chung HK,Kiehl's NTP Animation Table HK,Kiehl's Shatin New Town Plaza HK,Kiehl's Telford Plaza HK,Kiehl's Times Square HK,Kiehl's TKO Animation Table HK,Kiehl's Tuen Mun Town Plaza HK,King King Gondola 2,Kwun Tong APM Mall from 26.9.17 Onwards,Kwun Tong APM Mall - up to 26.9.18,Langham Place Mongkok,L'Oreal Paris Watson's Taiwan,Marc Jacobs London Heathrow,Mayb 15ft Chadstone Consumer Journey Melb,Mayb 15ft Chermside QLD,Mayb 15ft Fountain Gate  Melb,Mayb 15ft Marion SA,Mayb 15ft Miranda Fair NSW,Mayb 15ft Mount Gravatt QLD,Mayb 15ft Penrith NSW,Mayb 15ft Queen Street Mall Brisbane,Mayb 15ft Wollongong NSW,Mayb 15ft World Square Sydney,Mayb Wall Unit SH Creative Days 2018,Metroplaza,New Town Plaza Shatin,Philosophy Book Facesss HK,Philosophy Book Facesss Ocean Terminal,Philosophy Book Showroom HK,Shu Uemura Sogo CWB Video Wall,Telford Plaza,test,Times Square,Tuen Mun Town Plaza
2018-11-13,7928,4218,1904,203,87,179,0,0,0,0,504,382,0,0,0,0,0,1380,0,0,0,0,1724,16374,0,474,0,29726,0,13109,15314,16319,12584,14640,0,26001,418,35652,11881,4638,0,0,0,974,4485,5227,0,0,0,0,0,0,0,2484,0,0,0,0,0,8696,0,0,0,0,1375,0
2018-11-14,7618,67,1699,92,80,71,0,0,0,0,1889,500,0,0,0,0,0,1443,0,0,0,0,838,14594,0,864,0,24661,0,12457,13258,15129,12112,13174,0,20962,346,36782,16941,1201,0,0,0,1282,2742,3651,0,0,0,0,0,0,0,3578,0,0,0,0,0,8364,0,1544,0,0,5720,0
2018-11-15,8091,53,2206,389,676,112,0,0,0,0,196,490,0,0,0,0,0,1336,0,0,0,0,698,14026,0,934,0,23064,0,11267,13966,13051,17815,13567,0,19219,1012,33466,22653,1680,0,0,0,1169,4295,10034,0,0,0,0,0,0,0,6271,0,0,0,0,0,4851,0,0,0,0,20633,0
2018-11-16,8589,0,3017,165,122,201,0,0,0,0,2839,159,0,0,0,0,0,1836,33,0,0,0,386,15626,0,901,0,19293,0,13226,15345,15267,8594,16957,0,5251,376,32612,16757,4763,0,0,0,1277,4119,2326,0,0,0,0,0,0,491,3592,0,0,0,0,0,4797,0,0,0,0,618,0
2018-11-17,8744,7,2055,1164,629,305,0,0,0,0,1757,33,0,0,0,0,0,3491,0,0,0,0,0,21654,0,818,0,19903,0,15262,13029,18317,9499,18429,0,24192,782,36172,13634,6186,0,0,0,1751,6233,5308,0,0,0,0,0,0,2,3562,0,0,0,0,0,10508,0,0,0,0,8258,0
2018-11-18,9406,0,1955,233,387,209,0,0,0,0,2293,16,0,0,0,0,0,1690,0,0,0,0,14,16894,0,805,0,24460,0,1379,8778,25297,9201,21743,0,26511,525,32252,25551,770,0,0,0,2462,4674,6216,0,0,0,0,0,0,1,2299,0,0,0,0,0,4991,0,0,0,0,11806,0
2018-11-19,7646,4829,4114,654,73,149,0,0,0,0,1346,44,0,0,0,158,0,1384,0,0,0,0,266,14093,0,709,0,43850,0,10387,11951,16834,11645,11519,0,4552,300,24868,13010,2618,0,0,0,1022,4559,5934,0,0,0,0,0,0,1,3075,0,0,0,0,0,7568,0,0,0,0,6623,0
2018-11-20,7208,6755,14,130,159,135,0,0,0,0,2880,275,0,0,0,268,0,1693,0,0,0,0,68,14443,0,766,0,29654,0,9085,13645,21613,8125,11721,0,8157,309,28984,17573,1741,0,0,0,1109,2236,4404,0,0,0,0,0,0,1110,3590,0,0,0,0,0,8950,0,0,0,0,8684,0
2018-11-21,8406,874,1241,248,80,26,0,0,0,0,1875,90,0,0,0,65,0,1252,0,0,0,0,25,13371,0,8,0,21301,0,9650,13633,19286,7999,12191,0,13203,311,31787,12865,526,0,0,0,1176,4320,15719,0,0,0,0,0,0,11428,12292,0,0,0,0,0,2828,0,0,0,0,7582,0
2018-11-22,8419,5773,1584,397,210,414,0,0,0,0,5346,205,0,0,0,1319,0,5558,0,0,0,0,119,11179,0,0,0,24537,0,13442,14845,18330,7818,17982,0,6384,216,29127,8760,964,0,0,0,1051,4335,17580,0,0,0,0,0,0,15140,18340,0,0,0,0,0,8476,0,0,0,0,10704,0
